report_number,agency,crime_type,crime_date,report_date,location,disposition,latitude,longitude
2026-06140049,FSUPD,OPERATE MOTOR VEHICLE WO VALID LICENSE 1ST CONV,2026-06-14T09:59:00,2026-06-14T09:59:00,"N MACOMB ST/W TENNESSEE ST , TALLAHASSEE, FL 32301",Cleared by Citation,30.4448142,-84.2881188
2026-06140024,FSUPD,DUI - BAC .15 OR HIGHER OR HAS PASSENGER UND 18 YOA,2026-06-14T03:11:00,2026-06-14T03:11:00,"DEWEY ST/W TENNESSEE ST , TALLAHASSEE, FL",Cleared by Arrest,30.4445833,-84.2941759
2026-06130110,FSUPD,DWLSR REVOCATION EQUIV STATUS 2ND OFF,2026-06-13T21:56:00,2026-06-13T21:56:00,"304 E TENNESSEE ST , Tallahassee, FL 32301",Cleared by Citation,30.445107,-84.2792416
2026-06130074,FSUPD,DWLSR - UNKNOWINGLY,2026-06-13T14:17:00,2026-06-13T14:17:00,"506 W PENSACOLA ST , TALLAHASSEE, FL 32301",Cleared by Citation,30.439012,-84.2896842
2026-06130029,FSUPD,DUI 3RD VIOLAITON W/IN 10 YRS,2026-06-13T03:47:00,2026-06-13T03:47:00,"312 STADIUM DR , TALLAHASSEE, FL",Cleared by Arrest,30.4449135,-84.3075681
2026-06130029,FSUPD,REFUSE BREATH TEST,2026-06-13T03:47:00,2026-06-13T03:47:00,"312 STADIUM DR , TALLAHASSEE, FL",Cleared by Arrest,30.4449135,-84.3075681
2026-06130016,FSUPD,DUI,2026-06-13T01:42:00,2026-06-13T01:42:00,"530 W GAINES ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.435574,-84.2888549
2026-06130016,FSUPD,DWLSR REVOCATION EQUIV STATUS 3RD SUB VIOL,2026-06-13T01:42:00,2026-06-13T01:42:00,"530 W GAINES ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.435574,-84.2888549
2026-06130016,FSUPD,REFUSE BREATH TEST,2026-06-13T01:42:00,2026-06-13T01:42:00,"530 W GAINES ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.435574,-84.2888549
2026-06130016,FSUPD,TAMPERING WITH EVIDENCE,2026-06-13T01:42:00,2026-06-13T01:42:00,"530 W GAINES ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.435574,-84.2888549
2026-06130016,FSUPD,USE OR POSSESS DRUG PARAPHERNALIA,2026-06-13T01:42:00,2026-06-13T01:42:00,"530 W GAINES ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.435574,-84.2888549
2026-06130010,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-06-13T00:34:00,2026-06-13T00:34:00,"HENDRY ST/STADIUM DR , TALLAHASSEE, FL",Cleared by Citation,30.43621,-84.3058181
2026-06110111,FSUPD,DWLS W/ KNOWLEDGE,2026-06-11T20:23:00,2026-06-11T20:23:00,"699 W GAINES ST , Tallahassee, FL 32304",Cleared by Citation,30.4349283,-84.2931731
2026-06100084,FSUPD,IMPROPER LANE CHANGE - SAME DIRECTION OF TRAVEL,2026-06-10T16:40:00,2026-06-10T16:48:00,"W TENNESSEE ST/W BREVARD ST , Tallahassee, FL",Cleared by Citation,,
2026-06090144,FSUPD,DWLS W/ KNOWLEDGE,2026-06-09T22:48:00,2026-06-09T22:48:00,"1720 LAKE BRADFORD RD , TALLAHASSEE, FL 32310",Cleared by Arrest,,
2026-06090094,FSUPD,POSSESS FIREARM ON SCHOOL PROPERTY,2026-06-09T13:59:00,2026-06-09T13:59:00,"389 STADIUM DR , Tallahassee, FL 32306",Cleared by Arrest,30.4410416,-84.3053423
2026-06090094,FSUPD,Petit theft Property value $100 but less than $750,2026-06-09T13:59:00,2026-06-09T13:59:00,"389 STADIUM DR , Tallahassee, FL 32306",Cleared by Arrest,30.4410416,-84.3053423
2026-06090094,FSUPD,RESISTING ARREST W/OUT VIOLENCE,2026-06-09T13:59:00,2026-06-09T13:59:00,"389 STADIUM DR , Tallahassee, FL 32306",Cleared by Arrest,30.4410416,-84.3053423
2026-06090090,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-06-09T13:27:00,2026-06-09T13:27:00,"1030 W TENNESSEE ST , Tallahassee, FL 32306",Cleared by Citation,30.4470988,-84.2998338
2026-06090090,FSUPD,UNLAWFUL SPEED MUNICIPAL RD,2026-06-09T13:27:00,2026-06-09T13:27:00,"1030 W TENNESSEE ST , Tallahassee, FL 32306",Cleared by Citation,30.4470988,-84.2998338
2026-06080065,FSUPD,CRASH LEAVE THE SCENE W/O GIVING INFORMAITON MORE THAN $50 DAMAGE,2026-06-08T17:20:00,2026-06-08T18:03:00,"296 CHAMPIONS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4367617,-84.3053119
2026-06060097,FSUPD,POSSESSION OF NOT MORE THAN 20 GRAMS OF CANNABIS,2026-06-06T22:05:00,2026-06-06T22:05:00,"500 W COLLEGE AVE , TALLAHASSEE, FL 32301",Cleared by Arrest,30.44081,-84.28858
2026-06060072,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2026-06-06T14:46:00,2026-06-06T14:46:00,"STADIUM DR/W CALL ST , TALLAHASSEE, FL 32304",Cleared by Citation,,
2026-06060072,FSUPD,UNLAWFUL SPEED,2026-06-06T14:46:00,2026-06-06T14:46:00,"STADIUM DR/W CALL ST , TALLAHASSEE, FL 32304",Cleared by Citation,,
2026-06060041,FSUPD,TRESPASS FAIL TO LEAVE PROP ON ORDER OF OWNER,2026-06-06T09:14:00,2026-06-06T09:14:00,"505 W PENSACOLA ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4377748,-84.2866345
2026-06070060,FSUPD,Petit theft Property value $100 but less than $750,2026-06-06T00:19:00,2026-06-07T13:13:00,"118 VARSITY WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4419465,-84.3018533
2026-08150103,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2026-05-26T07:00:00,2026-08-15T14:30:00,"923 LEARNING WAY , TALLAHASSEE, FL 32304",Inactive,30.4402325,-84.2995708
2026-07200031,FSUPD,GRAND THEFT $10K LESS THAN $20K,2025-12-01T08:00:00,2026-07-20T11:13:00,"502 S COPELAND ST , TALLAHASSEE, FL 32304",Open/Pending,30.4378868,-84.2911367
2026-08140112,FSUPD,STALKING- FOLLOW HARASS CYBERSTALK ANOTHER,2025-08-12T12:00:00,2026-08-14T12:40:00,"830 W JEFFERSON ST , TALLAHASSEE, FL 32306",Open/Pending,30.4401802,-84.2976478
2026-07270070,FSUPD,Petit theft Property value $100 but less than $750,2025-07-01T07:00:00,2026-07-27T12:32:00,"169 HERLONG DR , TALLAHASSEE, FL 32310",Open/Pending,30.4208594,-84.3103979
2025-03050012,FSUPD,"DUI -under the influence of alcohol, chemical substance or controlled substance-person’s normal faculties are impaired.",2025-03-05T02:22:00,2025-03-05T02:22:00,"905 W GAINES ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.435101,-84.2986034
2025-03020027,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2025-03-02T02:45:00,2025-03-02T02:58:00,"126 CONVOCATION WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4421591,-84.2929902
2025-03010082,FSUPD,POSS DRIVER LIC/ID CARD W ALTERED DOB,2025-03-01T16:11:00,2025-03-01T16:11:00,"W PENSACOLA ST, Tallahassee, FL 32306",Cleared by Arrest,30.4405982,-84.3171624
2025-03010082,FSUPD,POSSESSION OF ALCOHOL BY MINOR,2025-03-01T16:11:00,2025-03-01T16:11:00,"W PENSACOLA ST, Tallahassee, FL 32306",Cleared by Arrest,30.4405982,-84.3171624
2025-03010107,FSUPD,GRAND THEFT $750 LESS THAN $5K,2025-03-01T02:00:00,2025-03-01T21:19:00,"202 VARSITY DR , TALLAHASSEE, FL 32306",Inactive,30.4406253,-84.3001788
2025-03010005,FSUPD,CRIMINAL MISCHIEF $200 OR LESS- 1ST OFFENSE,2025-02-28T22:25:00,2025-03-01T00:36:00,"641 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Inactive,30.4400799,-84.2925254
2025-02280073,FSUPD,LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,2025-02-28T10:12:00,2025-02-28T14:01:00,"104 N WOODWARD AVE, TALLAHASSEE, FL 32306",Cleared by Arrest,30.444642,-84.2988275
2025-02270118,FSUPD,DUI BLOOD ALCOHOL 0.08 OR MORE PER 100 ML,2025-02-27T23:00:00,2025-02-27T23:03:00,"PARK AVE W/S COPELAND ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4394003,-84.2907969
2025-02260058,FSUPD,CRIMINAL MISCHIEF- INJURE/ DESTROY/ REMOVE FIREFIGHTING EQUIP,2025-02-26T02:30:00,2025-02-26T11:13:00,"202 VARSITY DR , TALLAHASSEE, FL 32306",Open/Pending,30.4406253,-84.3001788
2025-02260053,FSUPD,POSSESSION OF CONTROLLED SUBSTANCE W/O PRESCRIPTION,2025-02-25T22:00:00,2025-02-26T10:15:00,"116 HONORS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4431683,-84.2950093
2025-02250078,FSUPD,OPERATE MOTORCYCLE WO LICENSE,2025-02-25T13:00:00,2025-02-25T13:00:00,"411 STADIUM DR , TALLAHASSEE, FL 32306",Cleared by Arrest,30.438076,-84.3046449
2025-02250072,FSUPD,AGGRAVATED STALKING- FOLLOW HARASS CYBERSTALK MAKE CRED THREAT TO ANOTHER PERSON,2025-02-25T11:27:00,2025-02-25T11:54:00,"75 N WOODWARD AVE , TALLAHASSEE, FL 32306",Open/Pending,30.4445043,-84.2971629
2025-02250063,FSUPD,TRESPASS OF PROPERTY NOT STRUCTURE OR CONVEY,2025-02-25T09:51:00,2025-02-25T09:51:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.447524,-84.3029516
2025-02250063,FSUPD,USE OR POSSESS DRUG PARAPHERNALIA,2025-02-25T09:51:00,2025-02-25T09:51:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.447524,-84.3029516
2025-02250063,FSUPD,VIOL INJUNCTION OF PROTECTION DOMESTIC VIOLENCE,2025-02-25T09:51:00,2025-02-25T09:51:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.447524,-84.3029516
2025-02250063,FSUPD,VIOL PRE TRIAL RELEASE COND FOR DOMEST VIOL,2025-02-25T09:51:00,2025-02-25T09:51:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.447524,-84.3029516
2025-02240070,FSUPD,CARELESS DRIVING,2025-02-24T14:53:00,2025-02-24T14:53:00,"W TENNESSEE ST 1000, Tallahassee, FL 32304",Cleared by Citation,30.4479857,-84.2998708
2025-02240064,FSUPD,DRIV WHILE LIC SUSPEND REVOCATION EQUIV STATUS 1ST OFFENSE,2025-02-24T14:10:00,2025-02-24T14:10:00,"ATKINSON DR , Tallahassee, FL 32304",Cleared by Arrest,30.4397696,-84.3111991
2025-02240042,FSUPD,DWLS W/ KNOWLEDGE,2025-02-24T10:11:00,2025-02-24T10:11:00,"OCALA RD/HERITAGE GROVE CIR , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4453736,-84.31708
2025-02230083,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2025-02-22T18:05:00,2025-02-23T23:07:00,"503 PARK AVE E , TALLAHASSEE, FL 32301",Open/Pending,30.4414427,-84.2888171
2025-02220055,FSUPD,FAIL TO YIELD SIDEWALK FROM ALLEY/DRIVEWAY TO VEH,2025-02-22T14:40:00,2025-02-22T14:40:00,"LORENE ST/W JEFFERSON ST , TALLAHASSEE, FL 32304",Cleared by Citation,30.439612,-84.2961402
2025-02210131,FSUPD,LEO may arrest a person w/o a warrant when a warrant for the arrest has been issued and is held by another LEO,2025-02-21T21:25:00,2025-02-21T21:25:00,"200 S DUVAL ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4403557,-84.2834003
2025-02210096,FSUPD,LEAVE SCENE OF CRASH INVOLVE DAMAGE TO PROP,2025-02-21T15:07:00,2025-02-21T15:07:00,"140 CHIEFTAN WAY , TALLAHASSEE, FL 32306",Victim Refused to Cooperate,30.4421696,-84.3027151
2025-02210095,FSUPD,ACCIDENT UNATTENDED VEH OR PROP WO LEAVING ID,2025-02-21T15:00:00,2025-02-21T15:05:00,"104 N WOODWARD AVE, TALLAHASSEE, FL 32306",Closed,30.444642,-84.2988275
2025-02200095,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2025-02-20T16:00:00,2025-02-20T16:26:00,"119 HONORS WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.442567,-84.2940493
2025-02200095,FSUPD,TAMPERING IN MISDEMEANOR PROCEEDING,2025-02-20T16:00:00,2025-02-20T16:26:00,"119 HONORS WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.442567,-84.2940493
2025-02200092,FSUPD,FAIL TO REGISTER MOTOR VEH,2025-02-20T15:35:00,2025-02-20T15:35:00,"JACKSON BLUFF RD , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4343497,-84.3377865
2025-02200084,FSUPD,FAILURE TO APPEAR OF DEFENDANT ON BAIL FOR MISDEMEANOR CHARGE,2025-02-20T13:05:00,2025-02-20T13:07:00,STOZIER LIBRARY,Cleared by Arrest,30.4430141,-84.2949902
2025-02200084,FSUPD,LEO may arrest a person w/o a warrant when a warrant for the arrest has been issued and is held by another LEO,2025-02-20T13:05:00,2025-02-20T13:07:00,STOZIER LIBRARY,Cleared by Arrest,30.4430141,-84.2949902
2025-02170077,FSUPD,PETIT THEFT 2ND DEG,2025-02-17T10:19:00,2025-02-17T15:25:00,"530 W CALL ST , TALLAHASSEE, FL 32301",Open/Pending,30.4437501,-84.2901911
2025-02170057,FSUPD,AFFRAY,2025-02-17T09:00:00,2025-02-17T09:15:00,"1106 W CALL ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.445961,-84.303475
2025-02170057,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2025-02-17T09:00:00,2025-02-17T09:15:00,"1106 W CALL ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.445961,-84.303475
2025-02170057,FSUPD,POSSESS DISPLAY FORGED COUNTERFEIT DRIVERS LICENSE OR ID CARD,2025-02-17T09:00:00,2025-02-17T09:15:00,"1106 W CALL ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.445961,-84.303475
2025-02170057,FSUPD,STALKING- FOLLOW HARASS CYBERSTALK ANOTHER,2025-02-17T09:00:00,2025-02-17T09:15:00,"1106 W CALL ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.445961,-84.303475
2025-02160074,FSUPD,TRESPASS FAIL TO LEAVE PROP ON ORDER OF OWNER,2025-02-16T14:32:00,2025-02-16T14:32:00,"504 W CALL ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4437193,-84.2890334
2025-02170059,FSUPD,Petit theft Property value $100 but less than $750,2025-02-15T23:20:00,2025-02-17T10:35:00,"874 TRADITIONS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4418129,-84.2972417
2025-02180040,FSUPD,GRAND THEFT $750 LESS THAN $5K,2025-02-15T17:00:00,2025-02-18T11:05:00,"114 N COPELAND ST, TALLAHASSEE, FL 32306",Open/Pending,30.4422766,-84.2914494
2025-02180040,FSUPD,PETIT THEFT 2ND DEG,2025-02-15T17:00:00,2025-02-18T11:05:00,"114 N COPELAND ST, TALLAHASSEE, FL 32306",Open/Pending,30.4422766,-84.2914494
2025-02150086,FSUPD,PETIT THEFT 2ND DEG,2025-02-15T15:54:00,2025-02-15T15:54:00,"STADIUM DR/HENDRY ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.436203,-84.305851
2025-02150086,FSUPD,POSS DRIVER LIC/ID CARD W ALTERED DOB,2025-02-15T15:54:00,2025-02-15T15:54:00,"STADIUM DR/HENDRY ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.436203,-84.305851
2025-02150086,FSUPD,POSSESSION OF CONTROLLED SUBSTANCE W/O PRESCRIPTION,2025-02-15T15:54:00,2025-02-15T15:54:00,"STADIUM DR/HENDRY ST , TALLAHASSEE, FL 32306",Cleared by Arrest,30.436203,-84.305851
2025-02150084,FSUPD,OPERATE MOTOR VEHICLE W/O VALID LIC 2ND CONV,2025-02-15T15:29:00,2025-02-15T15:29:00,"707 W GAINES ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4345347,-84.293981
2025-02140081,FSUPD,DWLSR - UNKNOWINGLY,2025-02-14T15:27:00,2025-02-14T15:27:00,"ST AUGUSTINE ST/VARSITY DR , TALLAHASSEE, FL",Cleared by Citation,30.4375988,-84.3007653
2025-02140128,FSUPD,PETIT THEFT 2ND DEG,2025-02-14T15:00:00,2025-02-14T21:03:00,"1122 SPIRIT WAY , TALLAHASSEE, FL 32306",Victim Refused to Cooperate,30.4434126,-84.3052002
2025-02210056,FSUPD,CARELESS DRIVING,2025-02-14T07:26:00,2025-02-21T07:26:00,"821 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.44421,-84.295514
2025-02210056,FSUPD,"DUI -under the influence of alcohol, chemical substance or controlled substance-person’s normal faculties are impaired.",2025-02-14T07:26:00,2025-02-21T07:26:00,"821 ACADEMIC WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.44421,-84.295514
2025-02140013,FSUPD,BATTERY- TOUCH OR STRIKE ANOTHER,2025-02-14T01:59:00,2025-02-14T01:59:00,"447 W COLLEGE AVE , TALLAHASSEE, FL 32301",Open/Pending,30.4404671,-84.287703
2025-02140060,FSUPD,Petit theft Property value $100 but less than $750,2025-02-13T12:00:00,2025-02-14T11:50:00,"119 HONORS WAY , TALLAHASSEE, FL 32306",Open/Pending,30.442567,-84.2940493
2025-02180095,FSUPD,Petit theft Property value $100 but less than $750,2025-02-11T21:30:00,2025-02-18T21:39:00,"802 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4404121,-84.2961709
2025-02110093,FSUPD,PETIT THEFT 2ND DEG,2025-02-11T15:20:00,2025-02-11T18:13:00,"319 STADIUM DR , TALLAHASSEE, FL 32306",Open/Pending,30.445599,-84.301849
2025-02110085,FSUPD,CRIMINAL MISCHIEF $200 OR LESS- 1ST OFFENSE,2025-02-11T14:22:00,2025-02-11T16:35:00,"1107 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.4454687,-84.303801
2025-02110085,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2025-02-11T14:22:00,2025-02-11T16:35:00,"1107 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.4454687,-84.303801
2025-02110071,FSUPD,GRAND THEFT $750 LESS THAN $5K,2025-02-11T13:12:00,2025-02-11T13:12:00,"960 LEARNING WAY , TALLAHASSEE, FL 32306",Cleared by Arrest,30.4417475,-84.2990224
2025-02110090,FSUPD,CRIMINAL MISCHIEF $200 OR LESS- 1ST OFFENSE,2025-02-11T10:30:00,2025-02-11T17:47:00,"107 CHIEFTAN WAY , TALLAHASSEE, FL 32306",Inactive,30.4443846,-84.3018457
2025-02110090,FSUPD,"Theft - property stolen is valued at $100 or more, but less than $750",2025-02-11T10:30:00,2025-02-11T17:47:00,"107 CHIEFTAN WAY , TALLAHASSEE, FL 32306",Inactive,30.4443846,-84.3018457
2025-02110089,FSUPD,PETIT THEFT 2ND DEG,2025-02-11T10:00:00,2025-02-11T17:43:00,"117 N WOODWARD AVE , TALLAHASSEE, FL 32306",Open/Pending,30.44407469999999,-84.3000471
2025-02110042,FSUPD,TRESPASS FAIL TO LEAVE PROP ON ORDER OF OWNER,2025-02-11T08:15:00,2025-02-11T08:15:00,"232 HAYDEN RD, TALLAHASSEE, FL 32304",Cleared by Arrest,30.4386368,-84.30781
2025-02110027,FSUPD,GRAND THEFT $750 LESS THAN $5K,2025-02-10T23:00:00,2025-02-11T03:15:00,"117 N WOODWARD AVE , TALLAHASSEE, FL 32306",Open/Pending,30.44407469999999,-84.3000471
2025-02180064,FSUPD,PETIT THEFT 2ND DEG,2025-02-10T20:00:00,2025-02-18T17:01:00,"126 CONVOCATION WAY , TALLAHASSEE, FL 32306",Inactive,30.4421591,-84.2929902
2025-02110057,FSUPD,PETIT THEFT 2ND DEG,2025-02-10T20:00:00,2025-02-11T10:50:00,"118 VARSITY WAY , TALLAHASSEE, FL 32306",Inactive,30.4419465,-84.3018533
2025-02100103,FSUPD,Petit theft Property value $100 but less than $750,2025-02-10T17:10:00,2025-02-10T18:41:00,"98 VARSITY WAY , TALLAHASSEE, FL 32306",Inactive,30.4435701,-84.3002524
2025-02100042,FSUPD,DWLS W/ KNOWLEDGE,2025-02-10T09:33:00,2025-02-10T09:33:00,"435 N MACOMB ST , TALLAHASSEE, FL 32301",Open/Pending,30.4462591,-84.2881973
2025-02100045,FSUPD,Petit theft Property value $100 but less than $750,2025-02-10T09:08:00,2025-02-10T10:04:00,"989 LEARNING WAY , TALLAHASSEE, FL 32306",Open/Pending,30.443234,-84.2971145
2025-02100033,FSUPD,DWLS W/ KNOWLEDGE,2025-02-10T07:46:00,2025-02-10T07:47:00,"W CALL ST/CONRADI ST , TALLAHASSEE, FL 32304",Cleared by Arrest,30.4472639,-84.3081495
2025-02120054,FSUPD,CRASH LEAVE THE SCENE W/O GIVING INFORMAITON MORE THAN $50 DAMAGE,2025-02-09T12:00:00,2025-02-12T11:57:00,"803 W JEFFERSON ST , TALLAHASSEE, FL 32304",Inactive,30.439343,-84.296355
2025-02090016,FSUPD,DUI,2025-02-09T02:41:00,2025-02-09T02:41:00,"222 OCALA RD S , TALLAHASSEE, FL 32304",Cleared by Arrest,30.443617,-84.3182729
2025-02090016,FSUPD,DUI - BAC .15 OR HIGHER OR HAS PASSENGER UND 18 YOA,2025-02-09T02:41:00,2025-02-09T02:41:00,"222 OCALA RD S , TALLAHASSEE, FL 32304",Cleared by Arrest,30.443617,-84.3182729
2025-02090016,FSUPD,FAIL TO STOP/RED LIGHT,2025-02-09T02:41:00,2025-02-09T02:41:00,"222 OCALA RD S , TALLAHASSEE, FL 32304",Cleared by Arrest,30.443617,-84.3182729
2025-02100053,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2025-02-08T22:30:00,2025-02-10T11:16:00,"1114 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.446832,-84.305197
2025-02100053,FSUPD,PETIT THEFT 2ND DEG,2025-02-08T22:30:00,2025-02-10T11:16:00,"1114 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.446832,-84.305197
2025-02080065,FSUPD,Petit theft Property value $100 but less than $750,2025-02-08T08:00:00,2025-02-08T14:57:00,"200 S WOODWARD AVE , TALLAHASSEE, FL 32304",Inactive,30.4403701,-84.2983987
2025-02070124,FSUPD,DWLS W/ KNOWLEDGE,2025-02-07T23:29:00,2025-02-07T23:29:00,"506 W PENSACOLA ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.439012,-84.2896842
2025-02080057,FSUPD,PETIT THEFT 2ND DEG,2025-02-07T02:00:00,2025-02-08T12:35:00,"923 LEARNING WAY , TALLAHASSEE, FL 32304",Victim Refused to Cooperate,30.4402325,-84.2995708
2025-02060138,FSUPD,POSS DRIVER LIC/ID CARD W ALTERED DOB,2025-02-06T22:55:00,2025-02-06T22:55:00,"200 S DUVAL ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4403557,-84.2834003
2025-02060138,FSUPD,POSSESSION OF ALCOHOL BY MINOR,2025-02-06T22:55:00,2025-02-06T22:55:00,"200 S DUVAL ST , TALLAHASSEE, FL 32301",Cleared by Arrest,30.4403557,-84.2834003
2025-02060123,FSUPD,ASSAULT- THREAT TO DO VIOLENCE,2025-02-06T21:00:00,2025-02-06T21:03:00,"548 W PARK AVE , Tallahassee, FL 32301",Open/Pending,30.4420759,-84.2905327
2025-02060127,FSUPD,FRAUD USE FELONY OF CC MORE THAN 2 TIMES W/IN 6 MOS OR FOR $100 OR MORE,2025-02-06T19:00:00,2025-02-06T21:42:00,"1001 W ST AUGUSTINE ST , TALLAHASSEE, FL 32304",Open/Pending,30.4373648,-84.2994166
2025-02060109,FSUPD,Petit theft Property value $100 but less than $750,2025-02-06T16:20:00,2025-02-06T18:18:00,"1107 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.4454687,-84.303801
2025-02060082,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2025-02-06T09:45:00,2025-02-06T13:40:00,"110 N WOODWARD AVE , TALLAHASSEE, FL 32306",Inactive,30.444967,-84.300189
2025-02060063,FSUPD,Petit theft Property value $100 but less than $750,2025-02-06T07:55:00,2025-02-06T09:36:00,"989 LEARNING WAY , TALLAHASSEE, FL 32306",Open/Pending,30.443234,-84.2971145
2025-02050068,FSUPD,DWLS W/ KNOWLEDGE,2025-02-05T14:35:00,2025-02-05T14:35:00,"LAKE BRADFORD RD/JACKSON BLUFF RD , TALLAHASSEE, FL 32304",Cleared by Arrest,30.434551,-84.302035
2025-02050056,FSUPD,Petit theft Property value $100 but less than $750,2025-02-05T12:37:00,2025-02-05T12:37:00,"75 N WOODWARD AVE , TALLAHASSEE, FL 32306",Inactive,30.4445043,-84.2971629
2025-02050066,FSUPD,CARELESS DRIVING,2025-02-05T11:50:00,2025-02-05T14:11:00,"501 S COPELAND ST , TALLAHASSEE, FL 32301",Cleared by Citation,30.438087,-84.290159
2025-02050018,FSUPD,ACCIDENT UNATTENDED VEH OR PROP WO LEAVING ID,2025-02-05T03:20:00,2025-02-05T03:31:00,"1147 ACADEMIC WAY , TALLAHASSEE, FL 32306",Open/Pending,30.447524,-84.3029516
2025-02040057,FSUPD,Petit theft Property value $100 but less than $750,2025-02-04T17:51:00,2025-02-04T17:51:00,"641 UNIVERSITY WAY , TALLAHASSEE, FL 32306",Open/Pending,30.4400799,-84.2925254
2025-02040009,FSUPD,POSSESSION OF CONTROLLED SUBSTANCE W/O PRESCRIPTION,2025-02-04T01:48:00,2025-02-04T01:48:00,"2000 LEVY AVE , TALLAHASSEE, FL 32310",Cleared by Arrest,30.4237988,-84.3171283
2025-02040009,FSUPD,USE OR POSSESS DRUG PARAPHERNALIA,2025-02-04T01:48:00,2025-02-04T01:48:00,"2000 LEVY AVE , TALLAHASSEE, FL 32310",Cleared by Arrest,30.4237988,-84.3171283
2025-02040009,FSUPD,VIOLATION OF PROBATION,2025-02-04T01:48:00,2025-02-04T01:48:00,"2000 LEVY AVE , TALLAHASSEE, FL 32310",Cleared by Arrest,30.4237988,-84.3171283
2025-02040069,FSUPD,Other- PETIT THEFT 1ST DEG $100 LESS THAN $750,2025-02-03T20:30:00,2025-02-04T20:49:00,"1106 W CALL ST , TALLAHASSEE, FL 32306",Inactive,30.445961,-84.303475
2025-02040037,FSUPD,BURGLARY TO UNOCC CONVEY WHILE UNARMED,2025-02-03T18:00:00,2025-02-04T11:45:00,"1952 HERITAGE GROVE CIR , TALLAHASSEE, FL 32304",Open/Pending,30.4457266,-84.3161136
2025-02020113,FSUPD,CRIMINAL MISCHIEF $200 OR LESS- 1ST OFFENSE,2025-02-02T16:50:00,2025-02-02T20:55:00,"110 N WOODWARD AVE , TALLAHASSEE, FL 32306",Inactive,30.444967,-84.300189
2025-02020113,FSUPD,GRAND THEFT $750 LESS THAN $5K,2025-02-02T16:50:00,2025-02-02T20:55:00,"110 N WOODWARD AVE , TALLAHASSEE, FL 32306",Inactive,30.444967,-84.300189
